[ERROR] 2018-09-07 02:46:23.861 [main] SavingsAccount - WITHDRAWAL - FAILED - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 11:20:05.834 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $600.0
[INFO ] 2018-09-07 12:41:41.266 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 12:43:10.678 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 13:06:23.021 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $100.0
[INFO ] 2018-09-07 13:07:32.132 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 13:08:42.127 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $500.0
[INFO ] 2018-09-07 13:10:57.989 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $300.0
[INFO ] 2018-09-07 13:13:16.423 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-07 13:15:50.363 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 41950703 TYPE: SAVINGS AMOUNT: $200.0
[INFO ] 2018-09-08 18:13:00.567 [main] SavingsAccount - TRANSFER - FROM: SAVINGS - Account Number: 15132730 - Balance: 0.0 - Holders: [Kevin Medara, Kevin Medara] - Status:PENDING TO: CHECKING - Account Number: 67557819 - Balance: 0.0 - Holders: [Kevin Medara, Kevin Medara] - Status:PENDING AMOUNT: $400.0
[INFO ] 2018-09-08 23:08:58.287 [main] SavingsAccount - WITHDRAWAL - SUCCESS - ACCOUNT: 12785133 TYPE: CHECKING AMOUNT: $300.0
[INFO ] 2018-09-08 23:08:58.288 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 70340850 TYPE: CHECKING AMOUNT: $300.0
[INFO ] 2018-09-08 23:08:58.288 [main] SavingsAccount - TRANSFER - FROM: CHECKING - Account Number: 12785133 - Balance: 0.0 - Holders: [] - Status:OPEN TO: CHECKING - Account Number: 70340850 - Balance: 300.0 - Holders: [] - Status:OPEN AMOUNT: $300.0
[INFO ] 2018-09-08 23:08:58.289 [main] SavingsAccount - DEPOSIT - SUCCESS - ACCOUNT: 4028873 TYPE: CHECKING AMOUNT: $400.56
